,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-27,14:00:00,BANKNIFTY02JUN1617500CE,142.0,2016-05-30,09:15:00,213.0,-73.84,SL,4.0
1,2016-05-27,14:00:00,BANKNIFTY02JUN1617500PE,220.8,2016-05-30,14:00:00,126.75,89.63400000000001,Expiry,4.0
2,2016-05-30,14:00:00,BANKNIFTY02JUN1617500PE,126.75,2016-05-31,14:00:00,110.1,14.115000000000006,Expiry,3.0
3,2016-05-30,14:00:00,BANKNIFTY02JUN1617500CE,147.0,2016-05-31,14:00:00,116.0,28.06,Expiry,3.0
4,2016-05-31,14:00:00,BANKNIFTY02JUN1617500CE,116.0,2016-05-31,15:16:00,174.0,-60.32,SL,2.0
5,2016-05-31,14:00:00,BANKNIFTY02JUN1617500PE,110.1,2016-06-01,14:00:00,87.0,20.898,Expiry,2.0
6,2016-06-01,14:00:00,BANKNIFTY02JUN1617500PE,87.0,2016-06-01,15:04:00,130.5,-45.24,SL,1.0
7,2016-06-01,14:00:00,BANKNIFTY02JUN1617500CE,70.0,2016-06-02,14:00:00,15.35,53.25,Expiry,1.0
8,2016-06-02,14:00:00,BANKNIFTY02JUN1617400CE,51.0,2016-06-02,14:06:00,76.5,-26.52,SL,0.0
9,2016-06-02,14:00:00,BANKNIFTY02JUN1617400PE,20.25,2016-06-02,15:30:00,0.1,19.745,Expiry,0.0
10,2016-06-03,14:00:00,BANKNIFTY09JUN1617700PE,185.0,2016-06-06,14:00:00,156.9,24.399999999999995,Expiry,4.0
11,2016-06-03,14:00:00,BANKNIFTY09JUN1617700CE,166.75,2016-06-06,14:00:00,186.0,-22.585,Expiry,4.0
12,2016-06-06,14:00:00,BANKNIFTY09JUN1617700PE,156.9,2016-06-07,14:00:00,34.25,119.512,Expiry,3.0
13,2016-06-06,14:00:00,BANKNIFTY09JUN1617700CE,186.0,2016-06-07,14:00:00,262.85,-80.57000000000002,Expiry,3.0
14,2016-06-07,14:00:00,BANKNIFTY09JUN1618000PE,136.0,2016-06-08,09:34:00,204.0,-70.72,SL,2.0
15,2016-06-07,14:00:00,BANKNIFTY09JUN1618000CE,76.0,2016-06-08,14:00:00,45.25,29.23,Expiry,2.0
16,2016-06-08,14:00:00,BANKNIFTY09JUN1618000CE,45.25,2016-06-09,14:00:00,8.3,36.045,Expiry,1.0
17,2016-06-08,14:00:00,BANKNIFTY09JUN1618000PE,117.95,2016-06-08,14:22:00,176.925,-61.33400000000001,SL,1.0
18,2016-06-09,14:00:00,BANKNIFTY09JUN1617900CE,33.0,2016-06-09,15:29:00,0.05,32.290000000000006,Expiry,0.0
19,2016-06-09,14:00:00,BANKNIFTY09JUN1617900PE,46.65,2016-06-09,14:03:00,69.975,-24.258,SL,0.0
20,2016-06-10,14:00:00,BANKNIFTY16JUN1617900CE,115.8,2016-06-13,14:00:00,25.8,87.684,Expiry,4.0
21,2016-06-10,14:00:00,BANKNIFTY16JUN1617900PE,197.95,2016-06-13,09:16:00,320.0,-126.009,Gap_SL,4.0
22,2016-06-13,14:00:00,BANKNIFTY16JUN1617600PE,161.35,2016-06-14,14:00:00,126.6,31.523,Expiry,3.0
23,2016-06-13,14:00:00,BANKNIFTY16JUN1617600CE,106.45,2016-06-14,14:00:00,99.65,4.670999999999998,Expiry,3.0
24,2016-06-14,14:00:00,BANKNIFTY16JUN1617600CE,99.65,2016-06-14,14:48:00,149.47500000000002,-51.81800000000002,SL,2.0
25,2016-06-14,14:00:00,BANKNIFTY16JUN1617600PE,126.6,2016-06-15,14:00:00,55.45,68.618,Expiry,2.0
26,2016-06-15,14:00:00,BANKNIFTY16JUN1617700PE,96.1,2016-06-16,14:00:00,47.5,46.678,Expiry,1.0
27,2016-06-15,14:00:00,BANKNIFTY16JUN1617700CE,76.75,2016-06-15,14:13:00,115.125,-39.91,SL,1.0
28,2016-06-16,14:00:00,BANKNIFTY16JUN1617700PE,47.5,2016-06-16,14:27:00,74.9,-28.350000000000005,Gap_SL,0.0
29,2016-06-16,14:00:00,BANKNIFTY16JUN1617700CE,33.9,2016-06-16,15:27:00,0.05,33.172000000000004,Expiry,0.0
30,2016-06-17,14:00:00,BANKNIFTY23JUN1617700CE,166.45,2016-06-20,14:00:00,154.5,8.620999999999988,Expiry,4.0
31,2016-06-17,14:00:00,BANKNIFTY23JUN1617700PE,140.4,2016-06-20,09:15:00,220.0,-82.408,Gap_SL,4.0
32,2016-06-20,14:00:00,BANKNIFTY23JUN1617700PE,125.65,2016-06-21,14:00:00,127.05,-3.912999999999992,Expiry,3.0
33,2016-06-20,14:00:00,BANKNIFTY23JUN1617700CE,154.5,2016-06-21,14:00:00,102.7,48.71,Expiry,3.0
34,2016-06-21,14:00:00,BANKNIFTY23JUN1617700CE,102.7,2016-06-22,14:00:00,39.0,61.646,Expiry,2.0
35,2016-06-21,14:00:00,BANKNIFTY23JUN1617700PE,127.05,2016-06-22,13:45:00,190.575,-66.06599999999999,SL,2.0
36,2016-06-22,14:00:00,BANKNIFTY23JUN1617600CE,73.3,2016-06-23,12:31:00,109.95,-38.11599999999999,SL,1.0
37,2016-06-22,14:00:00,BANKNIFTY23JUN1617600PE,94.4,2016-06-23,14:00:00,3.6,88.912,Expiry,1.0
38,2016-06-23,14:00:00,BANKNIFTY23JUN1617800PE,65.5,2016-06-23,15:29:00,0.05,64.14,Expiry,0.0
39,2016-06-23,14:00:00,BANKNIFTY23JUN1617800CE,15.5,2016-06-23,14:28:00,23.25,-8.06,SL,0.0
40,2016-06-24,14:00:00,BANKNIFTY30JUN1617300PE,215.0,2016-06-27,14:00:00,85.8,124.9,Expiry,4.0
41,2016-06-24,14:00:00,BANKNIFTY30JUN1617300CE,211.05,2016-06-27,12:37:00,316.57500000000005,-109.74600000000004,SL,4.0
