,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-31,09:15:00,BANKNIFTY02JUN1617600CE,90.0,2016-06-01,09:15:00,93.35,-5.149999999999994,Expiry,2.0
1,2016-05-31,09:15:00,BANKNIFTY02JUN1617600PE,174.25,2016-06-01,09:15:00,105.0,65.765,Expiry,2.0
2,2016-06-01,09:15:00,BANKNIFTY02JUN1617600CE,93.35,2016-06-02,09:15:00,6.6,84.883,Expiry,1.0
3,2016-06-01,09:15:00,BANKNIFTY02JUN1617600PE,105.0,2016-06-01,12:08:00,157.5,-54.6,SL,1.0
4,2016-06-02,09:15:00,BANKNIFTY02JUN1617400CE,62.6,2016-06-02,14:07:00,93.9,-32.55200000000001,SL,0.0
5,2016-06-02,09:15:00,BANKNIFTY02JUN1617400PE,58.0,2016-06-02,15:30:00,0.1,56.74,Expiry,0.0
6,2016-06-03,09:15:00,BANKNIFTY09JUN1617700PE,160.0,2016-06-06,09:15:00,184.75,-27.95,Expiry,4.0
7,2016-06-03,09:15:00,BANKNIFTY09JUN1617700CE,145.7,2016-06-06,09:15:00,150.0,-7.214000000000011,Expiry,4.0
8,2016-06-06,09:15:00,BANKNIFTY09JUN1617700CE,150.0,2016-06-07,09:15:00,166.65,-19.65000000000001,Expiry,3.0
9,2016-06-06,09:15:00,BANKNIFTY09JUN1617700PE,184.75,2016-06-07,09:15:00,128.85,52.205000000000005,Expiry,3.0
10,2016-06-07,09:15:00,BANKNIFTY09JUN1617800CE,128.1,2016-06-08,09:15:00,114.55,10.987999999999998,Expiry,2.0
11,2016-06-07,09:15:00,BANKNIFTY09JUN1617800PE,176.0,2016-06-08,09:15:00,67.05,105.43,Expiry,2.0
12,2016-06-08,09:15:00,BANKNIFTY09JUN1617900CE,69.8,2016-06-08,12:06:00,104.7,-36.29599999999999,SL,1.0
13,2016-06-08,09:15:00,BANKNIFTY09JUN1617900PE,113.45,2016-06-09,09:15:00,66.85,44.33100000000001,Expiry,1.0
14,2016-06-09,09:15:00,BANKNIFTY09JUN1617900CE,46.0,2016-06-09,09:30:00,69.0,-23.92,SL,0.0
15,2016-06-09,09:15:00,BANKNIFTY09JUN1617900PE,66.85,2016-06-09,14:12:00,100.275,-34.762,SL,0.0
16,2016-06-10,09:15:00,BANKNIFTY16JUN1617800CE,142.0,2016-06-10,11:02:00,213.0,-73.84,SL,4.0
17,2016-06-10,09:15:00,BANKNIFTY16JUN1617800PE,161.0,2016-06-13,09:15:00,225.7,-67.91999999999999,Expiry,4.0
18,2016-06-13,09:15:00,BANKNIFTY16JUN1617700CE,109.0,2016-06-14,09:15:00,72.65,34.169999999999995,Expiry,3.0
