,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-27,10:00:00,BANKNIFTY02JUN1617500CE,177.05,2016-05-30,10:00:00,140.25,33.259000000000015,Expiry,4.0
1,2016-05-27,10:00:00,BANKNIFTY02JUN1617500PE,255.0,2016-05-30,10:00:00,150.0,99.9,Expiry,4.0
2,2016-05-30,10:00:00,BANKNIFTY02JUN1617500PE,150.0,2016-05-31,10:00:00,132.0,15.0,Expiry,3.0
3,2016-05-30,10:00:00,BANKNIFTY02JUN1617500CE,140.25,2016-05-31,10:00:00,120.0,17.445,Expiry,3.0
4,2016-05-31,10:00:00,BANKNIFTY02JUN1617500PE,132.0,2016-06-01,10:00:00,51.9,77.46,Expiry,2.0
5,2016-05-31,10:00:00,BANKNIFTY02JUN1617500CE,120.0,2016-06-01,10:00:00,160.0,-42.4,Expiry,2.0
6,2016-06-01,10:00:00,BANKNIFTY02JUN1617600PE,90.0,2016-06-01,11:29:00,135.0,-46.8,SL,1.0
7,2016-06-01,10:00:00,BANKNIFTY02JUN1617600CE,100.1,2016-06-02,10:00:00,3.8,94.298,Expiry,1.0
8,2016-06-02,10:00:00,BANKNIFTY02JUN1617400CE,39.05,2016-06-02,10:23:00,58.575,-20.306,SL,0.0
9,2016-06-02,10:00:00,BANKNIFTY02JUN1617400PE,80.8,2016-06-02,15:30:00,0.1,79.084,Expiry,0.0
10,2016-06-03,10:00:00,BANKNIFTY09JUN1617700CE,170.5,2016-06-06,10:00:00,166.3,0.7899999999999885,Expiry,4.0
11,2016-06-03,10:00:00,BANKNIFTY09JUN1617700PE,181.4,2016-06-06,10:00:00,182.15,-4.378,Expiry,4.0
12,2016-06-06,10:00:00,BANKNIFTY09JUN1617700CE,166.3,2016-06-07,10:00:00,164.95,-1.9759999999999776,Expiry,3.0
13,2016-06-06,10:00:00,BANKNIFTY09JUN1617700PE,182.15,2016-06-07,10:00:00,141.2,37.307000000000016,Expiry,3.0
14,2016-06-07,10:00:00,BANKNIFTY09JUN1617800PE,193.3,2016-06-08,10:00:00,77.5,111.934,Expiry,2.0
15,2016-06-07,10:00:00,BANKNIFTY09JUN1617800CE,118.1,2016-06-07,12:52:00,177.14999999999998,-61.41199999999999,SL,2.0
16,2016-06-08,10:00:00,BANKNIFTY09JUN1617900PE,127.7,2016-06-09,10:00:00,83.1,42.04600000000001,Expiry,1.0
17,2016-06-08,10:00:00,BANKNIFTY09JUN1617900CE,50.4,2016-06-08,11:57:00,75.6,-26.207999999999995,SL,1.0
18,2016-06-09,10:00:00,BANKNIFTY09JUN1617900PE,83.1,2016-06-09,15:29:00,8.0,73.43799999999999,Expiry,0.0
19,2016-06-09,10:00:00,BANKNIFTY09JUN1617900CE,42.4,2016-06-09,15:29:00,0.05,41.502,Expiry,0.0
20,2016-06-10,10:00:00,BANKNIFTY16JUN1617900CE,112.6,2016-06-10,11:04:00,168.89999999999998,-58.55199999999999,SL,4.0
21,2016-06-10,10:00:00,BANKNIFTY16JUN1617900PE,181.0,2016-06-13,09:16:00,320.0,-142.62,Gap_SL,4.0
22,2016-06-13,10:00:00,BANKNIFTY16JUN1617600PE,176.75,2016-06-14,10:00:00,132.25,40.965,Expiry,3.0
23,2016-06-13,10:00:00,BANKNIFTY16JUN1617600CE,109.15,2016-06-14,10:00:00,106.2,0.7670000000000026,Expiry,3.0
24,2016-06-14,10:00:00,BANKNIFTY16JUN1617600PE,132.25,2016-06-15,10:00:00,69.85,59.755,Expiry,2.0
25,2016-06-14,10:00:00,BANKNIFTY16JUN1617600CE,106.2,2016-06-14,14:48:00,159.3,-55.22400000000001,SL,2.0
26,2016-06-15,10:00:00,BANKNIFTY16JUN1617700PE,116.65,2016-06-16,10:00:00,27.85,86.46700000000001,Expiry,1.0
27,2016-06-15,10:00:00,BANKNIFTY16JUN1617700CE,72.35,2016-06-15,14:05:00,108.525,-37.622,SL,1.0
28,2016-06-16,10:00:00,BANKNIFTY16JUN1617800PE,67.5,2016-06-16,10:15:00,101.25,-35.1,SL,0.0
29,2016-06-16,10:00:00,BANKNIFTY16JUN1617800CE,47.75,2016-06-16,15:29:00,0.05,46.745000000000005,Expiry,0.0
30,2016-06-17,10:00:00,BANKNIFTY23JUN1617800PE,170.8,2016-06-17,14:43:00,256.20000000000005,-88.81600000000003,SL,4.0
31,2016-06-17,10:00:00,BANKNIFTY23JUN1617800CE,160.55,2016-06-20,10:00:00,97.75,59.58900000000001,Expiry,4.0
32,2016-06-20,10:00:00,BANKNIFTY23JUN1617700CE,140.0,2016-06-21,10:00:00,102.05,35.150000000000006,Expiry,3.0
33,2016-06-20,10:00:00,BANKNIFTY23JUN1617700PE,142.45,2016-06-21,10:00:00,153.05,-13.449000000000025,Expiry,3.0
