,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-27,15:00:00,BANKNIFTY02JUN1617400CE,187.65,2016-05-30,09:15:00,281.475,-97.57800000000002,SL,4.0
1,2016-05-27,15:00:00,BANKNIFTY02JUN1617400PE,170.0,2016-05-30,15:00:00,94.45,72.14999999999999,Expiry,4.0
2,2016-05-30,15:00:00,BANKNIFTY02JUN1617500PE,128.0,2016-05-31,15:00:00,72.1,53.34,Expiry,3.0
3,2016-05-30,15:00:00,BANKNIFTY02JUN1617500CE,144.0,2016-05-31,15:00:00,158.0,-16.88,Expiry,3.0
4,2016-05-31,15:00:00,BANKNIFTY02JUN1617600CE,102.0,2016-06-01,15:00:00,17.25,82.71,Expiry,2.0
5,2016-05-31,15:00:00,BANKNIFTY02JUN1617600PE,111.0,2016-06-01,14:31:00,166.5,-57.72,SL,2.0
6,2016-06-01,15:00:00,BANKNIFTY02JUN1617400CE,90.0,2016-06-02,14:44:00,135.0,-46.8,SL,1.0
7,2016-06-01,15:00:00,BANKNIFTY02JUN1617400PE,61.75,2016-06-02,15:00:00,0.2,60.315,Expiry,1.0
8,2016-06-02,15:00:00,BANKNIFTY02JUN1617600CE,12.35,2016-06-02,15:28:00,0.05,12.053,Expiry,0.0
9,2016-06-02,15:00:00,BANKNIFTY02JUN1617600PE,30.0,2016-06-02,15:29:00,33.25,-3.85,Expiry,0.0
10,2016-06-03,15:00:00,BANKNIFTY09JUN1617700PE,200.75,2016-06-06,15:00:00,192.1,4.635000000000006,Expiry,4.0
11,2016-06-03,15:00:00,BANKNIFTY09JUN1617700CE,151.05,2016-06-06,15:00:00,147.0,1.029000000000011,Expiry,4.0
12,2016-06-06,15:00:00,BANKNIFTY09JUN1617700PE,192.1,2016-06-07,15:00:00,42.65,145.60799999999998,Expiry,3.0
13,2016-06-06,15:00:00,BANKNIFTY09JUN1617700CE,147.0,2016-06-07,12:42:00,220.5,-76.44,SL,3.0
