,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
45,2016-06-29,11:00:00,BANKNIFTY30JUN1617600CE,112.1,2016-06-30,09:15:00,189.1,-79.242,Gap_SL,1.0
46,2016-06-30,11:00:00,BANKNIFTY30JUN1617900CE,38.65,2016-06-30,13:38:00,57.974999999999994,-20.097999999999995,SL,0.0
47,2016-06-30,11:00:00,BANKNIFTY30JUN1617900PE,84.8,2016-06-30,15:28:00,0.05,83.054,Expiry,0.0
48,2016-07-01,11:00:00,BANKNIFTY07JUL1618000CE,170.95,2016-07-04,11:00:00,194.0,-26.469000000000012,Expiry,3.0
49,2016-07-01,11:00:00,BANKNIFTY07JUL1618000PE,93.35,2016-07-04,11:00:00,40.6,50.882999999999996,Expiry,3.0
50,2016-07-04,11:00:00,BANKNIFTY07JUL1618100CE,129.95,2016-07-05,11:00:00,72.85,54.501,Expiry,2.0
51,2016-07-04,11:00:00,BANKNIFTY07JUL1618100PE,69.4,2016-07-05,11:00:00,76.15,-8.138,Expiry,2.0
52,2016-07-05,11:00:00,BANKNIFTY07JUL1618100CE,72.85,2016-07-07,11:00:00,31.45,39.94299999999999,Expiry,1.0
53,2016-07-05,11:00:00,BANKNIFTY07JUL1618100PE,76.15,2016-07-07,11:00:00,57.5,17.127000000000006,Expiry,1.0
54,2016-07-07,11:00:00,BANKNIFTY07JUL1618100PE,57.5,2016-07-07,15:29:00,9.85,46.5,Expiry,0.0
55,2016-07-07,11:00:00,BANKNIFTY07JUL1618100CE,31.45,2016-07-07,14:06:00,47.175,-16.354,SL,0.0
56,2016-07-08,11:00:00,BANKNIFTY14JUL1617900PE,85.15,2016-07-11,11:00:00,5.45,77.997,Expiry,4.0
57,2016-07-08,11:00:00,BANKNIFTY14JUL1617900CE,148.7,2016-07-11,09:15:00,329.95,-184.224,Gap_SL,4.0
58,2016-07-11,11:00:00,BANKNIFTY14JUL1618400CE,89.2,2016-07-12,09:15:00,133.5,-46.083999999999996,Gap_SL,3.0
59,2016-07-11,11:00:00,BANKNIFTY14JUL1618400PE,96.95,2016-07-12,11:00:00,38.05,56.961000000000006,Expiry,3.0
60,2016-07-12,11:00:00,BANKNIFTY14JUL1618500CE,92.4,2016-07-12,14:54:00,138.60000000000002,-48.048000000000016,SL,2.0
61,2016-07-12,11:00:00,BANKNIFTY14JUL1618500PE,72.35,2016-07-13,11:00:00,39.75,31.152999999999995,Expiry,2.0
62,2016-07-13,11:00:00,BANKNIFTY14JUL1618600CE,60.6,2016-07-13,13:03:00,90.9,-31.512000000000004,SL,1.0
63,2016-07-13,11:00:00,BANKNIFTY14JUL1618600PE,78.65,2016-07-14,11:00:00,18.45,58.627,Expiry,1.0
64,2016-07-14,11:00:00,BANKNIFTY14JUL1618700CE,25.5,2016-07-14,11:47:00,38.25,-13.26,SL,0.0
65,2016-07-14,11:00:00,BANKNIFTY14JUL1618700PE,59.8,2016-07-14,15:29:00,0.05,58.554,Expiry,0.0
66,2016-07-15,11:00:00,BANKNIFTY21JUL1618800CE,186.3,2016-07-15,13:15:00,279.45000000000005,-96.87600000000003,SL,4.0
67,2016-07-15,11:00:00,BANKNIFTY21JUL1618800PE,143.5,2016-07-18,11:00:00,36.8,103.83,Expiry,4.0
68,2016-07-18,11:00:00,BANKNIFTY21JUL1619100PE,123.15,2016-07-18,14:58:00,184.72500000000002,-64.03800000000001,SL,3.0
69,2016-07-18,11:00:00,BANKNIFTY21JUL1619100CE,149.45,2016-07-19,11:00:00,54.75,91.71099999999998,Expiry,3.0
70,2016-07-19,11:00:00,BANKNIFTY21JUL1618900CE,128.0,2016-07-19,12:53:00,192.0,-66.56,SL,2.0
71,2016-07-19,11:00:00,BANKNIFTY21JUL1618900PE,83.45,2016-07-19,13:30:00,125.17500000000001,-43.394000000000005,SL,2.0
72,2016-07-20,11:00:00,BANKNIFTY21JUL1618900CE,128.45,2016-07-21,11:00:00,73.75,52.130999999999986,Expiry,1.0
73,2016-07-20,11:00:00,BANKNIFTY21JUL1618900PE,43.1,2016-07-21,11:00:00,26.25,15.988000000000001,Expiry,1.0
74,2016-07-21,11:00:00,BANKNIFTY21JUL1618900PE,26.25,2016-07-21,11:55:00,39.375,-13.65,SL,0.0
75,2016-07-21,11:00:00,BANKNIFTY21JUL1618900CE,73.75,2016-07-21,15:29:00,0.05,72.22500000000001,Expiry,0.0
76,2016-07-22,11:00:00,BANKNIFTY28JUL1618600CE,211.0,2016-07-25,11:00:00,206.6,0.18000000000000593,Expiry,4.0
77,2016-07-22,11:00:00,BANKNIFTY28JUL1618600PE,125.25,2016-07-25,11:00:00,84.45,38.294999999999995,Expiry,4.0
78,2016-07-25,11:00:00,BANKNIFTY28JUL1618700PE,121.95,2016-07-26,11:00:00,40.7,78.811,Expiry,3.0
79,2016-07-25,11:00:00,BANKNIFTY28JUL1618700CE,148.05,2016-07-25,11:23:00,222.07500000000002,-76.986,SL,3.0
80,2016-07-26,11:00:00,BANKNIFTY28JUL1619000PE,137.5,2016-07-26,15:10:00,206.25,-71.5,SL,2.0
81,2016-07-26,11:00:00,BANKNIFTY28JUL1619000CE,133.85,2016-07-27,11:00:00,133.0,-1.8270000000000057,Expiry,2.0
