,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-27,12:00:00,BANKNIFTY02JUN1617500CE,145.95,2016-05-30,09:15:00,218.92499999999998,-75.89399999999999,SL,4.0
1,2016-05-27,12:00:00,BANKNIFTY02JUN1617500PE,225.0,2016-05-30,12:00:00,131.75,88.75,Expiry,4.0
2,2016-05-30,12:00:00,BANKNIFTY02JUN1617500CE,142.0,2016-05-31,12:00:00,132.0,7.16,Expiry,3.0
3,2016-05-30,12:00:00,BANKNIFTY02JUN1617500PE,131.75,2016-05-31,12:00:00,110.0,19.115,Expiry,3.0
4,2016-05-31,12:00:00,BANKNIFTY02JUN1617600CE,86.35,2016-06-01,12:00:00,45.25,39.373,Expiry,2.0
5,2016-05-31,12:00:00,BANKNIFTY02JUN1617600PE,163.0,2016-06-01,12:00:00,140.75,18.99,Expiry,2.0
6,2016-06-01,12:00:00,BANKNIFTY02JUN1617500CE,85.55,2016-06-02,12:00:00,22.3,61.539,Expiry,1.0
7,2016-06-01,12:00:00,BANKNIFTY02JUN1617500PE,83.1,2016-06-01,14:34:00,124.64999999999999,-43.211999999999996,SL,1.0
8,2016-06-02,12:00:00,BANKNIFTY02JUN1617400CE,60.0,2016-06-02,14:07:00,90.0,-31.2,SL,0.0
9,2016-06-02,12:00:00,BANKNIFTY02JUN1617400PE,42.85,2016-06-02,15:30:00,0.1,41.893,Expiry,0.0
10,2016-06-03,12:00:00,BANKNIFTY09JUN1617700CE,173.9,2016-06-06,12:00:00,165.75,4.672000000000006,Expiry,4.0
11,2016-06-03,12:00:00,BANKNIFTY09JUN1617700PE,182.0,2016-06-06,12:00:00,182.45,-4.089999999999989,Expiry,4.0
12,2016-06-06,12:00:00,BANKNIFTY09JUN1617700CE,165.75,2016-06-07,12:00:00,166.0,-3.565,Expiry,3.0
13,2016-06-06,12:00:00,BANKNIFTY09JUN1617700PE,182.45,2016-06-07,12:00:00,98.85,79.951,Expiry,3.0
14,2016-06-07,12:00:00,BANKNIFTY09JUN1617800CE,114.35,2016-06-07,12:52:00,171.52499999999998,-59.46199999999998,SL,2.0
15,2016-06-07,12:00:00,BANKNIFTY09JUN1617800PE,140.5,2016-06-08,12:00:00,39.95,97.74,Expiry,2.0
16,2016-06-08,12:00:00,BANKNIFTY09JUN1618000CE,43.6,2016-06-09,12:00:00,18.05,24.678,Expiry,1.0
17,2016-06-08,12:00:00,BANKNIFTY09JUN1618000PE,128.25,2016-06-09,12:00:00,107.0,18.685,Expiry,1.0
18,2016-06-09,12:00:00,BANKNIFTY09JUN1617900CE,53.05,2016-06-09,15:29:00,0.05,51.939,Expiry,0.0
19,2016-06-09,12:00:00,BANKNIFTY09JUN1617900PE,47.95,2016-06-09,14:04:00,71.92500000000001,-24.934000000000008,SL,0.0
20,2016-06-10,12:00:00,BANKNIFTY16JUN1618000CE,136.0,2016-06-13,12:00:00,15.0,118.28,Expiry,4.0
21,2016-06-10,12:00:00,BANKNIFTY16JUN1618000PE,166.7,2016-06-10,13:00:00,250.04999999999998,-86.684,SL,4.0
22,2016-06-13,12:00:00,BANKNIFTY16JUN1617500CE,143.55,2016-06-14,12:00:00,173.0,-32.32099999999999,Expiry,3.0
23,2016-06-13,12:00:00,BANKNIFTY16JUN1617500PE,138.7,2016-06-14,12:00:00,75.55,60.37599999999999,Expiry,3.0
24,2016-06-14,12:00:00,BANKNIFTY16JUN1617600CE,117.8,2016-06-15,12:00:00,107.65,7.793999999999992,Expiry,2.0
25,2016-06-14,12:00:00,BANKNIFTY16JUN1617600PE,116.05,2016-06-15,12:00:00,80.5,33.229,Expiry,2.0
26,2016-06-15,12:00:00,BANKNIFTY16JUN1617700CE,62.6,2016-06-15,14:04:00,93.9,-32.55200000000001,SL,1.0
27,2016-06-15,12:00:00,BANKNIFTY16JUN1617700PE,131.8,2016-06-16,12:00:00,123.7,5.464000000000008,Expiry,1.0
28,2016-06-16,12:00:00,BANKNIFTY16JUN1617600PE,58.2,2016-06-16,15:29:00,0.05,56.986000000000004,Expiry,0.0
29,2016-06-16,12:00:00,BANKNIFTY16JUN1617600CE,39.7,2016-06-16,12:39:00,59.550000000000004,-20.644000000000002,SL,0.0
30,2016-06-17,12:00:00,BANKNIFTY23JUN1617800PE,176.3,2016-06-20,09:15:00,255.25,-82.47599999999998,Gap_SL,4.0
31,2016-06-17,12:00:00,BANKNIFTY23JUN1617800CE,149.25,2016-06-20,12:00:00,94.7,51.565,Expiry,4.0
32,2016-06-20,12:00:00,BANKNIFTY23JUN1617700PE,150.25,2016-06-21,12:00:00,123.0,24.245,Expiry,3.0
33,2016-06-20,12:00:00,BANKNIFTY23JUN1617700CE,138.0,2016-06-21,12:00:00,114.75,20.49,Expiry,3.0
34,2016-06-21,12:00:00,BANKNIFTY23JUN1617700CE,114.75,2016-06-22,12:00:00,83.5,28.955,Expiry,2.0
35,2016-06-21,12:00:00,BANKNIFTY23JUN1617700PE,123.0,2016-06-22,12:00:00,89.65,30.889999999999993,Expiry,2.0
36,2016-06-22,12:00:00,BANKNIFTY23JUN1617700PE,89.65,2016-06-22,13:42:00,134.47500000000002,-46.618000000000016,SL,1.0
37,2016-06-22,12:00:00,BANKNIFTY23JUN1617700CE,83.5,2016-06-23,12:00:00,35.7,46.129999999999995,Expiry,1.0
38,2016-06-23,12:00:00,BANKNIFTY23JUN1617700PE,70.5,2016-06-23,15:24:00,0.05,69.04,Expiry,0.0
39,2016-06-23,12:00:00,BANKNIFTY23JUN1617700CE,35.7,2016-06-23,12:35:00,53.550000000000004,-18.564,SL,0.0
40,2016-06-24,12:00:00,BANKNIFTY30JUN1617000PE,270.25,2016-06-27,12:00:00,29.75,235.095,Expiry,4.0
41,2016-06-24,12:00:00,BANKNIFTY30JUN1617000CE,256.0,2016-06-24,13:49:00,384.0,-133.12,SL,4.0
42,2016-06-27,12:00:00,BANKNIFTY30JUN1617500PE,141.55,2016-06-28,12:00:00,117.95,20.76900000000001,Expiry,3.0
43,2016-06-27,12:00:00,BANKNIFTY30JUN1617500CE,160.8,2016-06-28,12:00:00,152.0,5.584000000000011,Expiry,3.0
44,2016-06-28,12:00:00,BANKNIFTY30JUN1617500PE,117.95,2016-06-29,12:00:00,31.25,84.34100000000001,Expiry,2.0
45,2016-06-28,12:00:00,BANKNIFTY30JUN1617500CE,152.0,2016-06-29,12:00:00,189.45,-40.48999999999999,Expiry,2.0
46,2016-06-29,12:00:00,BANKNIFTY30JUN1617600PE,60.75,2016-06-30,12:00:00,2.95,56.584999999999994,Expiry,1.0
47,2016-06-29,12:00:00,BANKNIFTY30JUN1617600CE,120.2,2016-06-30,09:15:00,189.1,-71.30399999999999,Gap_SL,1.0
48,2016-06-30,12:00:00,BANKNIFTY30JUN1617800CE,74.75,2016-06-30,13:24:00,112.125,-38.87,SL,0.0
49,2016-06-30,12:00:00,BANKNIFTY30JUN1617800PE,34.55,2016-06-30,15:29:00,0.05,33.809,Expiry,0.0
50,2016-07-01,12:00:00,BANKNIFTY07JUL1618000CE,169.55,2016-07-04,12:00:00,187.95,-21.79099999999998,Expiry,3.0
51,2016-07-01,12:00:00,BANKNIFTY07JUL1618000PE,94.9,2016-07-04,12:00:00,42.75,50.252,Expiry,3.0
52,2016-07-04,12:00:00,BANKNIFTY07JUL1618100CE,126.15,2016-07-05,12:00:00,85.45,38.177,Expiry,2.0
53,2016-07-04,12:00:00,BANKNIFTY07JUL1618100PE,74.2,2016-07-05,12:00:00,62.0,10.716000000000003,Expiry,2.0
54,2016-07-05,12:00:00,BANKNIFTY07JUL1618100CE,85.45,2016-07-07,12:00:00,28.25,55.491,Expiry,1.0
55,2016-07-05,12:00:00,BANKNIFTY07JUL1618100PE,62.0,2016-07-05,14:10:00,93.0,-32.24,SL,1.0
