,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
0,2016-05-31,09:29:00,BANKNIFTY02JUN1617600CE,97.0,2016-06-01,09:29:00,78.5,16.56,Expiry,2.0
1,2016-05-31,09:29:00,BANKNIFTY02JUN1617600PE,144.85,2016-06-01,09:29:00,113.1,28.853,Expiry,2.0
2,2016-06-01,09:29:00,BANKNIFTY02JUN1617600CE,78.5,2016-06-02,09:29:00,5.6,71.33000000000001,Expiry,1.0
3,2016-06-01,09:29:00,BANKNIFTY02JUN1617600PE,113.1,2016-06-01,14:31:00,169.64999999999998,-58.81199999999998,SL,1.0
4,2016-06-02,09:29:00,BANKNIFTY02JUN1617400PE,65.0,2016-06-02,15:30:00,0.1,63.60000000000001,Expiry,0.0
5,2016-06-02,09:29:00,BANKNIFTY02JUN1617400CE,54.0,2016-06-02,14:06:00,81.0,-28.08,SL,0.0
6,2016-06-03,09:29:00,BANKNIFTY09JUN1617700PE,177.05,2016-06-06,09:29:00,181.8,-8.291,Expiry,4.0
7,2016-06-03,09:29:00,BANKNIFTY09JUN1617700CE,163.15,2016-06-06,09:29:00,168.0,-8.112999999999994,Expiry,4.0
8,2016-06-06,09:29:00,BANKNIFTY09JUN1617700CE,168.0,2016-06-07,09:29:00,172.65,-8.010000000000005,Expiry,3.0
9,2016-06-06,09:29:00,BANKNIFTY09JUN1617700PE,181.8,2016-06-07,09:29:00,134.1,44.064000000000014,Expiry,3.0
10,2016-06-07,09:29:00,BANKNIFTY09JUN1617800PE,181.25,2016-06-08,09:29:00,73.0,104.625,Expiry,2.0
11,2016-06-07,09:29:00,BANKNIFTY09JUN1617800CE,122.95,2016-06-07,13:59:00,184.425,-63.93400000000001,SL,2.0
12,2016-06-08,09:29:00,BANKNIFTY09JUN1617900PE,123.9,2016-06-09,09:29:00,54.5,66.92200000000001,Expiry,1.0
13,2016-06-08,09:29:00,BANKNIFTY09JUN1617900CE,65.2,2016-06-08,12:05:00,97.80000000000001,-33.90400000000001,SL,1.0
14,2016-06-09,09:29:00,BANKNIFTY09JUN1618000CE,26.6,2016-06-09,15:27:00,0.05,26.018,Expiry,0.0
15,2016-06-09,09:29:00,BANKNIFTY09JUN1618000PE,110.0,2016-06-09,14:04:00,165.0,-57.2,SL,0.0
16,2016-06-10,09:29:00,BANKNIFTY16JUN1617800PE,151.15,2016-06-13,09:15:00,226.72500000000002,-78.59800000000001,SL,4.0
17,2016-06-10,09:29:00,BANKNIFTY16JUN1617800CE,149.0,2016-06-10,11:02:00,223.5,-77.48,SL,4.0
18,2016-06-13,09:29:00,BANKNIFTY16JUN1617600CE,134.05,2016-06-14,09:29:00,112.1,19.269000000000016,Expiry,3.0
19,2016-06-13,09:29:00,BANKNIFTY16JUN1617600PE,144.0,2016-06-14,09:29:00,128.5,12.620000000000001,Expiry,3.0
20,2016-06-14,09:29:00,BANKNIFTY16JUN1617600CE,112.1,2016-06-15,09:29:00,111.25,-1.3920000000000057,Expiry,2.0
21,2016-06-14,09:29:00,BANKNIFTY16JUN1617600PE,128.5,2016-06-15,09:29:00,77.9,48.029999999999994,Expiry,2.0
22,2016-06-15,09:29:00,BANKNIFTY16JUN1617700PE,127.7,2016-06-16,09:29:00,41.1,84.04599999999999,Expiry,1.0
23,2016-06-15,09:29:00,BANKNIFTY16JUN1617700CE,65.95,2016-06-15,14:04:00,98.92500000000001,-34.29400000000001,SL,1.0
24,2016-06-16,09:29:00,BANKNIFTY16JUN1617700CE,82.3,2016-06-16,15:27:00,0.05,80.604,Expiry,0.0
25,2016-06-16,09:29:00,BANKNIFTY16JUN1617700PE,41.1,2016-06-16,11:01:00,61.650000000000006,-21.372000000000003,SL,0.0
26,2016-06-17,09:29:00,BANKNIFTY23JUN1617800PE,152.0,2016-06-17,14:25:00,228.0,-79.04,SL,4.0
27,2016-06-17,09:29:00,BANKNIFTY23JUN1617800CE,175.65,2016-06-20,09:29:00,67.0,105.137,Expiry,4.0
28,2016-06-20,09:29:00,BANKNIFTY23JUN1617600PE,149.75,2016-06-21,09:29:00,90.75,56.005,Expiry,3.0
29,2016-06-20,09:29:00,BANKNIFTY23JUN1617600CE,146.7,2016-06-20,12:31:00,220.04999999999998,-76.28399999999999,SL,3.0
30,2016-06-21,09:29:00,BANKNIFTY23JUN1617700CE,115.6,2016-06-22,09:29:00,70.65,42.63799999999999,Expiry,2.0
31,2016-06-21,09:29:00,BANKNIFTY23JUN1617700PE,134.3,2016-06-22,09:29:00,115.8,15.814000000000014,Expiry,2.0
32,2016-06-22,09:29:00,BANKNIFTY23JUN1617700PE,115.8,2016-06-22,13:44:00,173.7,-60.215999999999994,SL,1.0
33,2016-06-22,09:29:00,BANKNIFTY23JUN1617700CE,70.65,2016-06-22,09:45:00,105.97500000000001,-36.738,SL,1.0
34,2016-06-23,09:29:00,BANKNIFTY23JUN1617600PE,48.0,2016-06-23,15:28:00,0.05,46.99,Expiry,0.0
